Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5110,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.1299740051989602,2025-08-20 11:50:46.0,2025-08-20 12:08:38.0,SUCCESS,0.297778,2025-08-20 12:08:45.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4957,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 12:08:38.0,2025-08-20 12:08:45.0,SUCCESS,0.001944,2025-08-20 12:08:45.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5111,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.142,2025-08-20 12:50:46.0,2025-08-20 13:07:35.0,SUCCESS,0.280278,2025-08-20 13:07:42.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4958,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 13:07:35.0,2025-08-20 13:07:41.0,SUCCESS,0.001667,2025-08-20 13:07:42.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5112,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.15596880623875226,2025-08-20 13:50:46.0,2025-08-20 14:07:53.0,SUCCESS,0.285278,2025-08-20 14:07:59.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4959,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 14:07:53.0,2025-08-20 14:07:59.0,SUCCESS,0.001667,2025-08-20 14:07:59.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5113,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.15393842463014795,2025-08-20 14:50:46.0,2025-08-20 15:07:43.0,SUCCESS,0.2825,2025-08-20 15:07:49.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4960,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 15:07:43.0,2025-08-20 15:07:49.0,SUCCESS,0.001667,2025-08-20 15:07:49.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5114,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.1339732053589282,2025-08-20 15:50:46.0,2025-08-20 16:07:46.0,SUCCESS,0.283333,2025-08-20 16:07:52.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4961,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 16:07:46.0,2025-08-20 16:07:52.0,SUCCESS,0.001667,2025-08-20 16:07:52.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5115,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.152,2025-08-20 16:50:46.0,2025-08-20 17:08:04.0,SUCCESS,0.288333,2025-08-20 17:08:11.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4962,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 17:08:04.0,2025-08-20 17:08:10.0,SUCCESS,0.001667,2025-08-20 17:08:11.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5116,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.14997000599880023,2025-08-20 17:50:46.0,2025-08-20 18:08:09.0,SUCCESS,0.289722,2025-08-20 18:08:16.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4963,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 18:08:09.0,2025-08-20 18:08:16.0,SUCCESS,0.001944,2025-08-20 18:08:16.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,5117,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.144,2025-08-20 18:50:46.0,2025-08-20 19:08:33.0,SUCCESS,0.296389,2025-08-20 19:08:40.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4964,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-08-20 19:08:33.0,2025-08-20 19:08:39.0,SUCCESS,0.001667,2025-08-20 19:08:40.0,0
