Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,4854,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.10797840431913618,2025-07-15 11:50:46.0,2025-07-15 12:16:39.0,SUCCESS,0.431389,2025-07-15 12:16:46.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4701,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-07-15 12:16:39.0,2025-07-15 12:16:46.0,SUCCESS,0.001944,2025-07-15 12:16:46.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,4855,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.122,2025-07-15 12:50:46.0,2025-07-15 13:07:04.0,SUCCESS,0.271667,2025-07-15 13:07:11.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4702,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-07-15 13:07:04.0,2025-07-15 13:07:11.0,SUCCESS,0.001944,2025-07-15 13:07:11.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,4856,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.10797840431913618,2025-07-15 13:50:46.0,2025-07-15 14:40:04.0,SUCCESS,0.821667,2025-07-15 14:40:12.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4703,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-07-15 14:40:04.0,2025-07-15 14:40:11.0,SUCCESS,0.001944,2025-07-15 14:40:12.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,4857,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.14997000599880023,2025-07-15 14:50:46.0,2025-07-15 15:08:32.0,SUCCESS,0.296111,2025-07-15 15:08:39.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4704,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-07-15 15:08:33.0,2025-07-15 15:08:39.0,SUCCESS,0.001667,2025-07-15 15:08:39.0,0
010EIL0Z0000000000LJ,mt_CARGA_ARTIA,,MTT,4858,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.10597880423915217,2025-07-15 15:50:46.0,2025-07-15 16:07:39.0,SUCCESS,0.281389,2025-07-15 16:07:45.0,0
010EIL0Z0000000000LK,mt_TB_CONSULTORES_FATURAVEIS,,MTT,4705,ORYS,,4xiVO2awWKCdQC52Ap0tYk,fm5zDCfxvkSiZ4b1B6bMaH,Informatica Cloud Hosted Agent,0.0,2025-07-15 16:07:39.0,2025-07-15 16:07:45.0,SUCCESS,0.001667,2025-07-15 16:07:45.0,0
