Org ID,Execution type,Executed asset,Date (in UTC),Invoked by,Execution env,status,Execution count,Total Execution time (in hours),Average Execution time (in seconds)
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GRANULAR,2025-12-08,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,109,0.0203919444,0.67350
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GESTAO,2025-12-08,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,109,0.0162791667,0.53766
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-08,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,109,0.0143708333,0.47463
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GRANULAR,2025-12-09,REST,01CR7S08000000000002_VLI_Logistica_DEV,Completed,5,0.0019347222,1.39300
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GRANULAR,2025-12-09,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,106,0.0426636111,1.44895
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GESTAO,2025-12-09,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,106,0.0409761111,1.39164
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-09,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,106,0.0248108333,0.84263
64OAExn3HrTdhSZfzbroa1,Process,p_Tibco_Cliente_Granular,2025-12-09,Messaging Service,01CR7S08000000000002_VLI_Logistica_DEV,Completed,4,0.0094094444,8.46850
64OAExn3HrTdhSZfzbroa1,Process,p_Planob,2025-12-09,Messaging Service,01CR7S08000000000002_VLI_Logistica_DEV,Completed,8,0.0021033333,0.94650
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GRANULAR,2025-12-10,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,12,0.0054316667,1.62950
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_GESTAO,2025-12-10,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,12,0.0040866667,1.22600
64OAExn3HrTdhSZfzbroa1,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-10,Scheduler,01CR7S08000000000002_VLI_Logistica_DEV,Completed,12,0.0040730556,1.22192
