Meter ID,Meter Name,Date,Asset Name,Asset Type,Project,Folder,Org ID,Org Type,Environment Name,Environment Type,Tier,IPU Per Unit,Usage,Consumption (IPUs)
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-15T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.005893055600,0.008132416728
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-14T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.019349444500,0.026702233410
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-13T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.136068888900,0.187775066682
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-12T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.023823888900,0.032876966682
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-11T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.667391944400,0.921000883272
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-10T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,1.136270833400,1.568053750092
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-09T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.019807500000,0.027334350000
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-08T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.030726666700,0.042402800046
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-07T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.017153888900,0.023672366682
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-06T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.027041666600,0.037317499908
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-08-05T00:00:00Z,null,null,null,null,0Nlc01DYHHse7SsRKVb76p,Production,01CR7T08000000000002_VLI_Logistica_PRD,Secure Agent,0.000 - 60.000,1.380000,0.302256666700,0.417114200046
