Org ID,Execution type,Executed asset,Date (in UTC),Invoked by,Execution env,status,Execution count,Total Execution time (in hours),Average Execution time (in seconds)
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0085541667,0.18330
0Nlc01DYHHse7SsRKVb76p,Process,p_EXCEL_2_CDGC_IMPORT,2025-12-08,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,1,0.0356661111,128.39800
0Nlc01DYHHse7SsRKVb76p,Process,p_CDGC_2_ModelosSemanticosCatalogados,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0675280556,243.10100
0Nlc01DYHHse7SsRKVb76p,Process,EXCEL_2_CDGC_IMPORT,2025-12-08,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Completed,2,0.1734394444,312.19100
0Nlc01DYHHse7SsRKVb76p,Process,p_CDGC_EXPORT_CMDB_2_EXCEL,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,3,0.3919902778,470.38833
0Nlc01DYHHse7SsRKVb76p,Process,p_CDGC_EXPORT_CMDB_2_EXCEL,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,3,0.2104958333,252.59500
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0078972222,0.18224
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0075402778,0.17401
0Nlc01DYHHse7SsRKVb76p,Process,mp_CMDB_DATA_LAKE_2_CDGC,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1568527778,564.67000
0Nlc01DYHHse7SsRKVb76p,Process,mp_Security_Logs_2_TB_CMDB,2025-12-08,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0076975000,27.71100
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-12-09,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0050847222,0.10896
0Nlc01DYHHse7SsRKVb76p,Process,p_EXCEL_2_CDGC_IMPORT,2025-12-09,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,1,0.0099330556,35.75900
0Nlc01DYHHse7SsRKVb76p,Process,EXCEL_2_CDGC_IMPORT,2025-12-09,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1562150000,562.37400
0Nlc01DYHHse7SsRKVb76p,Process,p_CDGC_EXPORT_CMDB_2_EXCEL,2025-12-09,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1666666667,600.00000
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-12-09,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0041638889,0.09609
0Nlc01DYHHse7SsRKVb76p,Process,p_Tibco_Cliente_Granular_Cli001,2025-12-09,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,2,0.0014405556,2.59300
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-09,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0064027778,0.14776
0Nlc01DYHHse7SsRKVb76p,Process,mp_CMDB_DATA_LAKE_2_CDGC,2025-12-09,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1666666667,600.00000
0Nlc01DYHHse7SsRKVb76p,Process,p_Tibco_Cliente_Segmentacao,2025-12-09,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,41,0.0015000000,0.13171
0Nlc01DYHHse7SsRKVb76p,Process,p_Planob,2025-12-09,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,4,0.0001922222,0.17300
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-12-10,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,39,0.0037494444,0.34610
0Nlc01DYHHse7SsRKVb76p,Process,p_EXCEL_2_CDGC_IMPORT,2025-12-10,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,1,0.0098650000,35.51400
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-12-10,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,27,0.0035313889,0.47085
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-12-10,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,27,0.0034361111,0.45815
0Nlc01DYHHse7SsRKVb76p,Process,mp_CMDB_DATA_LAKE_2_CDGC,2025-12-10,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1656916667,596.49000
0Nlc01DYHHse7SsRKVb76p,Process,mp_Security_Logs_2_TB_CMDB,2025-12-10,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0064502778,23.22100
