Org ID,Execution type,Executed asset,Date (in UTC),Invoked by,Execution env,status,Execution count,Total Execution time (in hours),Average Execution time (in seconds)
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-07-31,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,30,0.1531772222,18.38127
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-07-31,REST,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,1,0.0029394444,10.58200
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-07-31,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,105,0.2108630556,7.22959
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-07-31,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,2,0.0011138889,2.00500
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-07-31,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0001550000,0.55800
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-07-31,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,97,0.0040047222,0.14863
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-07-31,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0001911111,0.68800
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-07-31,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,97,0.0036844444,0.13674
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-01,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,5,0.0007680556,0.55300
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-01,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,110,0.0454675000,1.48803
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-08-01,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,3,0.0000988889,0.11867
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-08-01,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,110,0.0039241667,0.12843
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-08-01,REST,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0000583333,0.21000
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-08-01,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,110,0.0016486111,0.05395
0Nlc01DYHHse7SsRKVb76p,Process,mp_Security_Logs_2_TB_CMDB,2025-08-01,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0142519444,51.30700
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-02,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0203991667,0.43713
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-08-02,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0053358333,0.12313
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-08-02,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0050505556,0.11655
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-03,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0065430556,0.14021
0Nlc01DYHHse7SsRKVb76p,Process,EXCEL_2_CDGC_IMPORT,2025-08-03,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1040713889,374.65700
0Nlc01DYHHse7SsRKVb76p,Process,p_CDGC_EXPORT_CMDB_2_EXCEL,2025-08-03,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.1666666667,600.00000
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-08-03,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0051408333,0.11863
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-08-03,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0053936111,0.12447
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-04,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0067602778,0.14486
0Nlc01DYHHse7SsRKVb76p,Process,p_Tibco_Cliente_Gestao,2025-08-04,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,2,0.0001388889,0.25000
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GESTAO,2025-08-04,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0055063889,0.12707
0Nlc01DYHHse7SsRKVb76p,Process,p_Tibco_Cliente_Granular_Cli001,2025-08-04,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,13,0.0012150000,0.33646
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_SEGMENTACAO,2025-08-04,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,156,0.0051002778,0.11770
0Nlc01DYHHse7SsRKVb76p,Process,p_Tibco_Cliente_Segmentacao,2025-08-04,Messaging Service,01CR7T08000000000002_VLI_Logistica_PRD,Completed,2,0.0003458333,0.62250
0Nlc01DYHHse7SsRKVb76p,Process,mp_Security_Logs_2_TB_CMDB,2025-08-04,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,1,0.0103850000,37.38600
0Nlc01DYHHse7SsRKVb76p,Process,mp_MENSAGERIA_GRANULAR,2025-08-05,Scheduler,01CR7T08000000000002_VLI_Logistica_PRD,Completed,168,0.0057166667,0.12250
0Nlc01DYHHse7SsRKVb76p,Process,EXCEL_2_CDGC_IMPORT,2025-08-05,Message Event,01CR7T08000000000002_VLI_Logistica_PRD,Faulted,1,0.1219175000,438.90300
