Date,Project,Folder,Org ID,Org Type,Consumption (IPUs)
2025-08-14T00:00:00Z,null,null,0Nlc01DYHHse7SsRKVb76p,Production,1.380620918682
2025-08-14T00:00:00Z,CLIENTE_AUDITORIA-PREPARADA,PNE - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.001688960000
2025-08-14T00:00:00Z,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.028132960000
2025-08-14T00:00:00Z,CLIENTE_AUDITORIA-PREPARADA,SIOP ADM - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.001733440000
2025-08-14T00:00:00Z,CLIENTE_AUDITORIA-PREPARADA,SIOP PORTOS - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.001200000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,BUSINESS ENTITY CLIENTE,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,PNE CLIENTE EXTERNO,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,SALESFORCE ACCOUNT,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,SIOP PORTO GERAL,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,SIOP PORTO TIPLAM,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_GOLDEN_RECORD,SIOP TERMINAIS,0Nlc01DYHHse7SsRKVb76p,Production,0.000000000000
2025-08-14T00:00:00Z,CLIENTE_QUALIDADE-STAGING,PNE - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.008127820000
2025-08-14T00:00:00Z,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.259833720000
2025-08-14T00:00:00Z,CLIENTE_QUALIDADE-STAGING,SIOP ADM - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.006016540000
2025-08-14T00:00:00Z,CLIENTE_QUALIDADE-STAGING,SIOP PORTOS - Cliente,0Nlc01DYHHse7SsRKVb76p,Production,0.004116920000
2025-08-14T00:00:00Z,CLIENTE_REPLICA,PNE,0Nlc01DYHHse7SsRKVb76p,Production,0.015377920000
2025-08-14T00:00:00Z,CLIENTE_REPLICA,SIOP Portos Geral,0Nlc01DYHHse7SsRKVb76p,Production,0.029511200000
2025-08-14T00:00:00Z,CLIENTE_REPLICA,SIOP Portos Tiplam,0Nlc01DYHHse7SsRKVb76p,Production,0.025155840000
2025-08-14T00:00:00Z,CLIENTE_REPLICA,SIOP Terminais,0Nlc01DYHHse7SsRKVb76p,Production,0.009377920000
